,date,temperature_2m_(°C),relative_humidity_2m_(%),dew_point_2m_(°C),apparent_temperature_(°C),precipitation_(mm),pressure_msl_(hPa),surface_pressure_(hPa),cloud_cover_(%),cloud_cover_low_(%),cloud_cover_mid_(%),cloud_cover_high_(%),wind_speed_10m_(km/h),wind_speed_100m_(km/h),wind_direction_10m(°),wind_direction_100m_(°),temperature_2m_max_(°C),temperature_2m_min_(°C),temperature_2m_mean_(°C),daylight_duration_(s),sunshine_duration_(s),precipitation_hours_(h),shortwave_radiation_sum_(MJ/m²),CO_(μg/m³),NO_(μg/m³),NO2_(μg/m³),O3_(μg/m³),SO2_(μg/m³),PM2_5_(μg/m³),PM10_(μg/m³),NH3_(μg/m³),AirQualityIndex
0,2020-11-27,24.7,17.0,-2.6999999999999997,22.414285714285715,0.0,1012.8714285714286,789.0142857142857,22.285714285714285,0.0,0.0,22.285714285714285,5.942857142857143,6.857142857142857,301.7142857142857,307.57142857142856,25.9,8.6,18.0,39870.840000000004,37097.05,0.0,20.72,620.3685714285714,2.36,18.735714285714288,147.13714285714286,30.995714285714286,24.364285714285717,27.09857142857143,0.9771428571428571,3.2857142857142856
1,2020-11-28,17.908333333333335,38.416666666666664,1.8499999999999999,15.6625,0.0,1015.1875,786.2875,17.708333333333332,0.0,1.7083333333333333,19.208333333333332,5.3500000000000005,7.166666666666667,161.04166666666666,168.95833333333334,25.899999999999995,11.699999999999998,17.9,39837.77,37059.49,0.0,20.46,1130.7008333333333,9.001666666666667,52.530833333333334,75.065,82.09458333333333,31.439166666666665,40.817083333333336,5.117083333333333,3.25
2,2020-11-29,17.129166666666666,45.083333333333336,3.6166666666666667,15.125,0.0,1015.0416666666666,785.6458333333334,8.583333333333334,0.0,2.5,5.541666666666667,5.6499999999999995,7.104166666666667,227.45833333333334,203.66666666666666,25.0,8.7,17.1,39806.22,37023.49,0.0,20.11,1296.3416666666667,11.237499999999999,53.78333333333333,75.07333333333334,54.01291666666666,60.61666666666667,77.07458333333334,6.645,4.625
3,2020-11-30,16.516666666666666,63.625,9.0375,14.775,0.004166666666666667,1018.6041666666666,788.025,54.75,30.583333333333332,44.333333333333336,2.7916666666666665,10.625,14.758333333333333,278.0,283.5416666666667,22.3,12.9,16.5,39775.79,34460.58,1.0,12.86,510.8320833333333,2.30875,23.27,46.92916666666667,35.981249999999996,18.531666666666666,21.80125,1.4204166666666669,2.3333333333333335
4,2020-12-01,12.591666666666667,67.16666666666667,5.620833333333334,10.291666666666666,0.025000000000000005,1019.4708333333333,785.9250000000001,67.875,4.333333333333333,19.791666666666668,58.416666666666664,9.491666666666667,11.629166666666668,219.41666666666666,148.04166666666666,22.2,6.099999999999999,12.6,39746.46,35809.52,2.0,17.74,1108.0304166666667,20.43375,44.51916666666667,29.9375,42.295,26.802083333333332,38.26541666666667,3.24375,3.1666666666666665
5,2020-12-02,14.4,60.291666666666664,5.641666666666667,12.612499999999999,0.0,1016.7208333333333,785.0875,45.5,2.5,17.583333333333332,36.458333333333336,6.479166666666667,8.3125,185.70833333333334,146.04166666666666,22.0,7.5,14.4,39718.27,36922.51,0.0,18.41,1168.2520833333333,29.185,34.63,44.68666666666667,23.112083333333334,30.281666666666666,46.947916666666664,4.744166666666667,3.4166666666666665
6,2020-12-03,14.8125,55.041666666666664,4.7749999999999995,12.625,0.0,1016.875,785.475,49.791666666666664,0.4166666666666667,20.125,34.875,7.566666666666666,9.704166666666667,211.33333333333334,188.5,22.899999999999995,8.4,14.800000000000002,39691.25,36891.45,0.0,18.08,1163.8008333333335,17.828333333333333,42.65625,41.86708333333333,34.98666666666667,28.526666666666667,43.62083333333334,7.3758333333333335,3.2916666666666665
7,2020-12-04,14.2125,55.916666666666664,4.320833333333334,11.620833333333332,0.0,1017.0708333333333,785.1916666666666,56.916666666666664,0.0,14.5,51.166666666666664,9.708333333333334,12.049999999999999,192.33333333333334,120.0,23.5,6.5,14.199999999999998,39665.43,36861.75,0.0,18.18,1221.9358333333332,37.09875,32.4775,32.946666666666665,24.617499999999996,31.135,49.0625,5.960833333333333,3.375
8,2020-12-05,15.5875,52.875,4.933333333333334,13.466666666666667,0.0,1017.4708333333333,786.4625,46.208333333333336,0.0,9.5,42.75,7.4875,11.416666666666666,175.45833333333334,123.54166666666667,24.0,8.1,15.6,39640.85,36833.47,0.0,18.43,1070.8970833333333,28.854583333333334,32.473333333333336,26.906666666666666,27.595,28.99291666666667,46.19541666666667,7.39375,2.9583333333333335
9,2020-12-06,15.1,54.416666666666664,5.116666666666666,13.029166666666667,0.004166666666666667,1017.0541666666667,785.8208333333333,28.791666666666668,0.4166666666666667,11.791666666666666,21.375,7.345833333333334,8.379166666666666,181.04166666666666,144.70833333333334,22.0,7.8,15.1,39617.54,36806.64,1.0,17.63,909.0108333333334,20.244166666666665,26.143333333333334,41.684999999999995,22.285,22.67833333333333,34.535000000000004,4.8012500000000005,2.875
